DEBUG 2018-06-29 11:14:35,467 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Lanting.IDCode.Sessions.Dto.TenantLoginInfoDto
DEBUG 2018-06-29 11:14:35,467 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Lanting.IDCode.Sessions.Dto.UserLoginInfoDto
DEBUG 2018-06-29 11:14:35,467 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Lanting.IDCode.Roles.Dto.CreateRoleDto
DEBUG 2018-06-29 11:14:35,467 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Lanting.IDCode.Roles.Dto.PermissionDto
DEBUG 2018-06-29 11:14:35,467 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Lanting.IDCode.Roles.Dto.RoleDto
DEBUG 2018-06-29 11:14:35,467 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Lanting.IDCode.MultiTenancy.Dto.CreateTenantDto
DEBUG 2018-06-29 11:14:35,467 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Lanting.IDCode.MultiTenancy.Dto.TenantDto
INFO  2018-06-29 11:14:37,866 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/  
INFO  2018-06-29 11:14:37,866 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 DEBUG http://localhost:21021/  0
INFO  2018-06-29 11:14:37,948 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 156.573ms 200 
WARN  2018-06-29 11:14:38,030 [12   ] calization.RequestLocalizationMiddleware - CookieRequestCultureProvider returned the following unsupported cultures 'zh-CN'.
WARN  2018-06-29 11:14:38,054 [12   ] calization.RequestLocalizationMiddleware - CookieRequestCultureProvider returned the following unsupported UI Cultures 'zh-CN'.
WARN  2018-06-29 11:14:38,123 [12   ] calization.RequestLocalizationMiddleware - AbpDefaultRequestCultureProvider returned the following unsupported cultures 'en'.
WARN  2018-06-29 11:14:38,127 [12   ] calization.RequestLocalizationMiddleware - AbpDefaultRequestCultureProvider returned the following unsupported UI Cultures 'en'.
WARN  2018-06-29 11:14:38,140 [12   ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported cultures 'zh-CN, zh'.
WARN  2018-06-29 11:14:38,146 [12   ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported UI Cultures 'zh-CN, zh'.
INFO  2018-06-29 11:14:41,086 [12   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "Index", controller = "Home", area = ""}. Executing action Lanting.IDCode.Web.Host.Controllers.HomeController.Index (Lanting.IDCode.Web.Host)
INFO  2018-06-29 11:14:41,832 [12   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method Lanting.IDCode.Web.Host.Controllers.HomeController.Index (Lanting.IDCode.Web.Host) - Validation state: Valid
INFO  2018-06-29 11:14:41,839 [12   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method Lanting.IDCode.Web.Host.Controllers.HomeController.Index (Lanting.IDCode.Web.Host), returned result Microsoft.AspNetCore.Mvc.RedirectResult in 1.561ms.
INFO  2018-06-29 11:14:41,931 [13   ] vc.Infrastructure.RedirectResultExecutor - Executing RedirectResult, redirecting to /swagger.
INFO  2018-06-29 11:14:41,944 [13   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action Lanting.IDCode.Web.Host.Controllers.HomeController.Index (Lanting.IDCode.Web.Host) in 850.0428ms
INFO  2018-06-29 11:14:41,998 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/  
INFO  2018-06-29 11:14:42,056 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 4220.1058ms 302 
WARN  2018-06-29 11:14:42,067 [6    ] calization.RequestLocalizationMiddleware - CookieRequestCultureProvider returned the following unsupported cultures 'zh-CN'.
WARN  2018-06-29 11:14:42,076 [6    ] calization.RequestLocalizationMiddleware - CookieRequestCultureProvider returned the following unsupported UI Cultures 'zh-CN'.
WARN  2018-06-29 11:14:42,086 [6    ] calization.RequestLocalizationMiddleware - AbpDefaultRequestCultureProvider returned the following unsupported cultures 'en'.
WARN  2018-06-29 11:14:42,109 [6    ] calization.RequestLocalizationMiddleware - AbpDefaultRequestCultureProvider returned the following unsupported UI Cultures 'en'.
WARN  2018-06-29 11:14:42,133 [6    ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported cultures 'zh-CN, zh'.
WARN  2018-06-29 11:14:42,158 [6    ] calization.RequestLocalizationMiddleware - AcceptLanguageHeaderRequestCultureProvider returned the following unsupported UI Cultures 'zh-CN, zh'.
INFO  2018-06-29 11:14:42,201 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 218.5395ms 301 
INFO  2018-06-29 11:14:42,227 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/index.html  
WARN  2018-06-29 11:14:42,254 [13   ] calization.RequestLocalizationMiddleware - CookieRequestCultureProvider returned the following unsupported cultures 'zh-CN'.
WARN  2018-06-29 11:14:42,260 [13   ] calization.RequestLocalizationMiddleware - CookieRequestCultureProvider returned the following unsupported UI Cultures 'zh-CN'.
